"canonical_city","country","reference_point","geocode_query","candidate_latitude","candidate_longitude","candidate_label","osm_type","osm_id","category","result_type","address_type","source","review_status","notes"
"Karlovy Vary","Czechia","Karlovy Vary","Karlovy Vary, Karlovy Vary, Czechia","50.2354590","12.8667221","Karlovy Vary, Nákladní, Sedlec, Karlovy Vary, okres Karlovy Vary, Karlovy Vary Region, 913 34, Czechia","node","13018231557","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Karlsruhe","Germany","Karlsruhe Hbf","Karlsruhe Hbf, Karlsruhe, Germany","48.9940078","8.4016492","Karlsruhe Hauptbahnhof, Bahnhofplatz, Südweststadt Östlicher Teil, Südweststadt, Karlsruhe, Baden-Württemberg, 76137, Germany","node","25443575","railway","stop","railway","OpenStreetMap Nominatim","approved",""
"Koblenz","Germany","Koblenz Hbf","Koblenz Hbf, Koblenz, Germany","50.3508227","7.5892636","Koblenz Hbf, Bahnhofplatz, Mitte, Koblenz, Rhineland-Palatinate, 56068, Germany","node","3524305897","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Königssee","Germany","Tourist-Information am Parkplatz Königssee","Owner-selected Tourist-Information am Parkplatz Königssee; adjacent OSM point","47.5921790","12.9875030","Tourist-Information am Parkplatz Königssee (same-building coordinate candidate)","","","tourism","information","tourism","OpenStreetMap nearby-point candidate","approved","Exact named point was not returned by Nominatim; visually confirm the same-building coordinate"
"Kraków","Poland","Kraków Główny","Kraków Główny, Kraków, Poland","50.0684238","19.9478862","Krakow Main Station, Świętego Rafała Kalinowskiego, Wesoła, Stare Miasto, Old Town, Krakow, Lesser Poland Voivodeship, 31-154, Poland","node","206270454","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Leipzig","Germany","Leipzig Hbf","Leipzig Hbf, Leipzig, Germany","51.3465518","12.3830858","Leipzig Hauptbahnhof, 5, Willy-Brandt-Platz, Centre East, Mitte, Leipzig, Saxony, 04109, Germany","node","376142577","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Lindau","Germany","Lindau-Insel","Lindau-Insel, Lindau, Germany","47.5442020","9.6808298","Lindau-Insel, Alfred-Nobel-Platz, Insel, Lindau (Bodensee), Landkreis Lindau, Bavaria, 88131, Germany","node","13801901","railway","station","railway","OpenStreetMap Nominatim","approved",""
"London","United Kingdom","London Waterloo","London Waterloo, London, United Kingdom","51.5028379","-0.1128010","London Waterloo, The Balcony, South Bank, Waterloo, London Borough of Lambeth, Greater London, England, SE1 8SW, United Kingdom","node","3638795617","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Lübeck","Germany","Lübeck Hbf","Lübeck Hbf, Lübeck, Germany","53.8671234","10.6704782","Lübeck Hauptbahnhof, 2-6, Am Bahnhof, Sankt Lorenz Süd, Lübeck, Schleswig-Holstein, 23558, Germany","way","214484180","building","train_station","building","OpenStreetMap Nominatim","approved",""
"Mainz","Germany","Mainz Hbf","Mainz Hbf, Mainz, Germany","50.0013856","8.2586022","Mainz Hbf, Bahnhofplatz, Neustadt, Mainz, Rhineland-Palatinate, 55116, Germany","way","187734152","building","train_station","building","OpenStreetMap Nominatim","approved",""
"Mannheim","Germany","Mannheim Hbf","Mannheim Hbf, Mannheim, Germany","49.4796632","8.4698178","Mannheim Hauptbahnhof, 17, Willy-Brandt-Platz, Schwetzingerstadt, Schwetzingerstadt/Oststadt, Mannheim, Baden-Württemberg, 68161, Germany","relation","6831071","building","train_station","building","OpenStreetMap Nominatim","approved",""
"Marseille","France","Marseille-Saint-Charles","Marseille-Saint-Charles, Marseille, France","43.3032635","5.3811927","Marseille Saint-Charles, Square Narvik, Saint-Charles, 1st Arrondissement, Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, Metropolitan France, 13001, France","node","4290857022","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Menton","France","Menton","Menton railway station, France","43.7747030","7.4931157","Menton, Rue des Soeurs Munet, Garavan, Menton, Nice, Maritime Alps, Provence-Alpes-Côte d'Azur, Metropolitan France, 06500, France","node","642423112","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Milan","Italy","Milano Centrale","Milano Centrale, Milan, Italy","45.4858786","9.2042617","Milano Centrale, Piazza Duca d'Aosta, Centrale, Municipio 2, Milan, Rodano, Milan, Lombardy, 20124, Italy","node","6067258870","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Monaco","Monaco","Monaco-Monte-Carlo","Monaco-Monte-Carlo, Monaco, Monaco","43.7382624","7.4194983","Monaco - Monte Carlo, Pont Sainte-Dévote, Ravin de Sainte-Dévote, Monaco, 98020, Monaco","node","9952646938","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Munich","Germany","München Hbf","München Hbf, Munich, Germany","48.1407253","11.5569426","Munich Central Station, Paul-Heyse-Unterführung, Klinikviertel, Ludwigsvorstadt, Ludwigsvorstadt-Isarvorstadt, Munich, Bavaria, 80335, Germany","node","2470201868","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Naples","Italy","Napoli Centrale","Napoli Centrale, Naples, Italy","40.8530238","14.2731399","Naples, Corso Meridionale, Rione Vasto, Vicaria, Municipalità 4, Naples, Campania, 80142, Italy","node","9126486961","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Nice","France","Nice-Ville","Nice-Ville, Nice, France","43.7048972","7.2617286","Nice-Ville, Parvis de la Gare, Vernier, Thiers, La Buffa, Nice, Maritime Alps, Provence-Alpes-Côte d'Azur, Metropolitan France, 06000, France","node","3400645196","railway","stop","railway","OpenStreetMap Nominatim","approved",""
"Nürnberg","Germany","Nürnberg Hbf","Nürnberg Hbf, Nürnberg, Germany","49.4451991","11.0823089","Nürnberg Hauptbahnhof, Mitteltunnel, Tafelhof, Altstadt und engere Innenstadt, Nuremberg, Bavaria, 90443, Germany","node","4543919208","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Oslo","Norway","Oslo S","Oslo S, Oslo, Norway","59.9110251","10.7531379","Oslo Central Station, Main Station Hallway, Sjøtomta, Vaterland, Sentrum, Oslo, 0050, Norway","node","660921","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Palermo","Italy","Palermo Centrale","Palermo Centrale, Palermo, Italy","38.1092571","13.3674799","Palermo Centrale, Via Tommaso Fazello, III Circoscrizione, Palermo, Sicily, 90127, Italy","node","418376059","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Paris","France","Gare du Nord","OpenStreetMap node 3090733718 (Paris Gare du Nord)","48.8804003","2.3549733","Paris Gare du Nord, Paris, France","node","3090733718","railway","station","railway","OpenStreetMap reviewed object candidate","approved",""
"Prague","Czechia","Praha hlavní nádraží","Praha hlavní nádraží, Prague, Czechia","50.0829628","14.4360939","Prague Main Station, Wilsonova, New Town, obvod Praha 1, Prague, 116 47, Czechia","node","3134751791","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Rome","Italy","Roma Termini","Roma Termini, Rome, Italy","41.9011950","12.5016713","Roma Termini, Piazza dei Cinquecento, Esquilino, Municipio Roma I, Rome, Roma Capitale, Lazio, 00185, Italy","way","23276946","building","train_station","building","OpenStreetMap Nominatim","approved",""
"Rotterdam","Netherlands","Rotterdam Centraal","Rotterdam Centraal, Rotterdam, Netherlands","51.9253937","4.4687190","Rotterdam Centraal, Provenierstunnel, CS-Kwartier, Centrum, Rotterdam, South Holland, Netherlands, 3013 EA, Netherlands","node","1053173589","railway","stop","railway","OpenStreetMap Nominatim","approved",""
"Salzburg","Austria","Salzburg Hbf","Salzburg Hbf, Salzburg, Austria","47.8130618","13.0458530","Salzburg Hauptbahnhof, 1, Südtiroler Platz, Elisabeth-Vorstadt, Salzburg, 5020, Austria","node","302097253","railway","station","railway","OpenStreetMap Nominatim","approved",""
"Skopje","North Macedonia","Skopje railway station","Skopje railway station, Skopje, North Macedonia","41.9909014","21.4459867","Skopje Railway Station, Bulevar Kuzman Josifovski Pitu, Mičurin, Aerodrom, Municipality of Centar, Skopje, Municipality of Aerodrom, City of Skopje, 1000, North Macedonia","way","144759771","building","train_station","building","OpenStreetMap Nominatim","approved",""
"Speyer","Germany","Speyer Hbf","Speyer Hbf, Speyer, Germany","49.3241568","8.4283506","Speyer Hauptbahnhof, 43, Bahnhofstraße, Kernstadt-Nord, Speyer, Rhineland-Palatinate, 67346, Germany","way","55476597","building","train_station","building","OpenStreetMap Nominatim","approved",""
