Title,Latitude,Longitude,MarkerType,Country,ReferencePoint,CandidateLabel,ReviewStatus,Source,Notes
"City GPS - Colmar","48.0724689","7.3469271","City GPS candidate","France","Gare de Colmar","Gare de Colmar, Place de la Gare, Colmar, Colmar-Ribeauvillé, Haut-Rhin, European Collectivity of Alsace, Grand Est, Metropolitan France, 68000, France","approved","OpenStreetMap Nominatim",""
"City GPS - Cologne","50.9427839","6.9590705","City GPS candidate","Germany","Köln Hbf","Köln Hauptbahnhof, 11, Trankgasse, Martinsviertel, Altstadt-Nord, Innenstadt, Cologne, North Rhine-Westphalia, 50667, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Den Haag","52.0807633","4.3255311","City GPS candidate","Netherlands","Den Haag Centraal","Den Haag Centraal, Prins Willem-Alexanderhof, Bezuidenhout, Haagse Hout, The Hague, South Holland, Netherlands, 2595 DH, Netherlands","approved","OpenStreetMap Nominatim",""
"City GPS - Donaueschingen","47.9479723","8.4987559","City GPS candidate","Germany","Donaueschingen","Donaueschingen, Bahnhofstraße, Allmendshofen, Donaueschingen (Kernstadt), Aufen, Donaueschingen, GVV Donaueschingen, Schwarzwald-Baar-Kreis, Baden-Württemberg, 78166, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Dortmund","51.5178935","7.4592831","City GPS candidate","Germany","Dortmund Hbf","Dortmund Hbf, Paul-Winzen-Straße, Innenstadt Nord, Dortmund, North Rhine-Westphalia, 44147, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Dresden","51.0402452","13.7320768","City GPS candidate","Germany","Dresden Hbf","Dresden Hbf, 4, Wiener Platz, Seevorstadt-Ost/Großer Garten, Seevorstadt, Altstadt, Dresden, Saxony, 01069, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Dublin","53.3527247","-6.2471357","City GPS candidate","Ireland","Dublin Connolly","Dublin Connolly, Amiens Street, North Dock C ED, Dublin, County Dublin, Leinster, D01 V6V6, Ireland","approved","OpenStreetMap Nominatim",""
"City GPS - Duisburg","51.4296701","6.7761771","City GPS candidate","Germany","Duisburg Hbf","Duisburg Hauptbahnhof, Bahnhofspassage, Dellviertel, Duisburg-Mitte, Duisburg, North Rhine-Westphalia, 47051, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Düsseldorf","51.2197340","6.7943015","City GPS candidate","Germany","Düsseldorf Hbf","Düsseldorf Central Station, Weg Gleis 12, Stadtmitte, Stadtbezirk 1, Dusseldorf, North Rhine-Westphalia, 40210, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Erfurt","50.9727731","11.0378865","City GPS candidate","Germany","Erfurt Hbf","Erfurt Hauptbahnhof, 12, Willy-Brandt-Platz, Altstadt, Erfurt, Thuringia, 99084, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Essen","51.4514769","7.0144679","City GPS candidate","Germany","Essen Hbf","Essen Hauptbahnhof, Am Hauptbahnhof, Stadtkern, Stadtbezirk I, Essen, North Rhine-Westphalia, 45127, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Frankfurt","50.1066539","8.6625808","City GPS candidate","Germany","Frankfurt (Main) Hbf","Frankfurt (Main) Hauptbahnhof, Mannheimer Straße, Gallus, Innenstadt 1, Frankfurt, Hesse, 60329, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Freiburg","47.9977308","7.8412948","City GPS candidate","Germany","Freiburg (Breisgau) Hbf","Freiburg (Breisgau) Hauptbahnhof, 5-7, Bismarckallee, Altstadt-Ring, Old Town, Freiburg im Breisgau, Baden-Württemberg, 79098, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Friedrichshafen","47.6532337","9.4737004","City GPS candidate","Germany","Friedrichshafen Stadt","Friedrichshafen Stadt, Fußgängerunterführung Stadtbahnhof, Hofen, Friedrichshafen, VVG der Stadt Friedrichshafen, Lake Constance district, Baden-Württemberg, 88045, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Gengenbach","48.4045788","8.0101727","City GPS candidate","Germany","Gengenbach","Gengenbach, Bahnhofstraße, Gengenbach, VVG der Stadt Gengenbach, Ortenaukreis, Baden-Württemberg, 77723, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Gent","51.0360946","3.7108051","City GPS candidate","Belgium","Gent-Sint-Pieters","Gent-Sint-Pieters, 1, Koningin Maria Hendrikaplein, Stationsbuurt Noord, Ghent, Gent, East Flanders, Flanders, 9000, Belgium","approved","OpenStreetMap Nominatim",""
"City GPS - Göreme","38.6435271","34.8296130","City GPS candidate","Turkey","Göreme Otobüs Terminali","Göreme Bus Station, Turgut Özal Meydanı, Göreme, Nevşehir, Central Anatolia Region, 50180, Turkey","approved","OpenStreetMap Nominatim",""
"City GPS - Hamburg","53.5526959","10.0075644","City GPS candidate","Germany","Hamburg Hbf","Hamburg Hauptbahnhof, Südsteg, St. Georg, Hamburg-Mitte, Hamburg, 20099, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Heidelberg","49.4034737","8.6754223","City GPS candidate","Germany","Heidelberg Hbf","Heidelberg Hauptbahnhof, 5, Willy-Brandt-Platz, Weststadt, Heidelberg, Baden-Württemberg, 69115, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Hof","50.3080628","11.9233140","City GPS candidate","Germany","Hof Hbf","Hof Hauptbahnhof, Bahnhofsplatz, Bahnhofsviertel, Alsenberg, Hof, Bavaria, 95028, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Idstein","50.2159384","8.2575508","City GPS candidate","Germany","Idstein (Taunus)","Idstein (Taunus), Am Bahndamm, Idstein, Rheingau-Taunus-Kreis, Hesse, 65510, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Istanbul","41.0150174","28.9779620","City GPS candidate","Turkey","Sirkeci Garı","Sirkeci, İstasyon Arkası Sokağı, Cağaloğlu, Hocapaşa Mahallesi, Istanbul, Fatih, Istanbul, Marmara Region, 34110, Turkey","approved","OpenStreetMap Nominatim",""
"City GPS - Karlovy Vary","50.2354590","12.8667221","City GPS candidate","Czechia","Karlovy Vary","Karlovy Vary, Nákladní, Sedlec, Karlovy Vary, okres Karlovy Vary, Karlovy Vary Region, 913 34, Czechia","approved","OpenStreetMap Nominatim",""
"City GPS - Karlsruhe","48.9940078","8.4016492","City GPS candidate","Germany","Karlsruhe Hbf","Karlsruhe Hauptbahnhof, Bahnhofplatz, Südweststadt Östlicher Teil, Südweststadt, Karlsruhe, Baden-Württemberg, 76137, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Koblenz","50.3508227","7.5892636","City GPS candidate","Germany","Koblenz Hbf","Koblenz Hbf, Bahnhofplatz, Mitte, Koblenz, Rhineland-Palatinate, 56068, Germany","approved","OpenStreetMap Nominatim",""
"City GPS - Königssee","47.5921790","12.9875030","City GPS candidate","Germany","Tourist-Information am Parkplatz Königssee","Tourist-Information am Parkplatz Königssee (same-building coordinate candidate)","approved","OpenStreetMap nearby-point candidate","Exact named point was not returned by Nominatim; visually confirm the same-building coordinate"
"City GPS - Kraków","50.0684238","19.9478862","City GPS candidate","Poland","Kraków Główny","Krakow Main Station, Świętego Rafała Kalinowskiego, Wesoła, Stare Miasto, Old Town, Krakow, Lesser Poland Voivodeship, 31-154, Poland","approved","OpenStreetMap Nominatim",""
"City GPS - Leipzig","51.3465518","12.3830858","City GPS candidate","Germany","Leipzig Hbf","Leipzig Hauptbahnhof, 5, Willy-Brandt-Platz, Centre East, Mitte, Leipzig, Saxony, 04109, Germany","approved","OpenStreetMap Nominatim",""
